Korean,English
가/이,guy
는/은/ㄴ,Is/sil/b
ㄴ/은,N Eun
았/었/였,Was/it was
이다,to be
에,to
고,go
의,of
다,all
는,Is
것,thing
하다,do
도,do
게,crab
들,field
그,that
있다,have
에서,at
있다,have
되다,to be
가다,go
기,energy
와/과,Wow/and
나,me
이,this
없다,none
수,number
보다,see
않다,not
말,word
사람,Person
가/이,guy
하다,do
한,one
는데,To be
오다,come
구,nine
우리,we
아니다,not
다,all
겠,Yes
때,at the time
만,only
그,that
그렇다,Yes
아야/어야,Aya/
던,Dungeon
같다,same
주다,give
그러다,Then
다는,All
와/과,Wow/and
안,not
아,ah
보다,see
그것,that
그런,then
또,In addition
일,Work
니까/으니까,Because/because
면서/으면서,While/
년,year
알다,know
에게,to
그래,okay
내,my
지다,lose
라고/으라고,Say/say
다,all
까지,Until
집,Home
대하다,treat
이렇다,Like this
등,etc.
가지다,have
나오다,come out
살다,live
좋다,good night
지만,but
나/이나,I/or
어,uh
씨,Seed
두,two
다고,All
받다,receive
먹다,To eat
말하다,say
뭐,What
이,this
때문,because
잘,well
다가,Approach
그래서,therefore
데,place
모르다,I do not know
더,more
크다,Big
좀,A little
이런,this
뭐,What
주다,give
위하다,for
소리,sound
일,Work
나다,It's me
너,you
이것,this
많다,many
갖다,have
들다,Hold
그러나,But
어떻다,how
저,I
생각하다,Think
죽다,die
여기,here
못,pond
생각,think
문제,Problem
놓다,put
죠,Yeah
나/으나,Me/oh
듣다,listen
앞,front
자기,self
고,go
얘기,story
